feature,importance
reservoir_volume_change_24h,0.086120576
sin_month,0.07740014
reservoir_volume_slope_24h,0.07107557
water_level_change_24h,0.04839426
water_level_slope_24h,0.041102275
water_level_change_12h,0.031249972
water_level_slope_12h,0.0308165
reservoir_volume_change_12h,0.03043835
reservoir_volume_slope_12h,0.021138502
reservoir_volume_roll_max_24h,0.016168889
reservoir_volume_slope_6h,0.014643507
water_level_change_6h,0.014108744
reservoir_volume_roll_min_6h,0.01313099
month,0.012626438
water_level_roll_min_72h,0.012318287
reservoir_volume_change_6h,0.011877158
water_level_roll_max_24h,0.011753538
reservoir_volume_roll_std_24h,0.0112171
reservoir_volume_lag_6h,0.010930893
water_level_slope_6h,0.010401412
water_level_roll_std_3h,0.010288513
reservoir_volume_roll_mean_48h,0.010205003
reservoir_volume_roll_min_72h,0.01016747
water_level_roll_max_48h,0.009940244
reservoir_volume_roll_mean_72h,0.009280285
dayofyear,0.009225535
cos_dayofyear,0.008892698
reservoir_volume_roll_min_48h,0.008487664
water_level_roll_std_24h,0.008228901
reservoir_volume_roll_max_48h,0.008228823
water_level_slope_1h,0.008197367
water_level_roll_max_72h,0.00819087
water_level_roll_min_6h,0.007914646
reservoir_volume_lag_72h,0.007911922
reservoir_volume_lag_48h,0.007882219
reservoir_volume_roll_min_12h,0.007879256
water_level_lag_24h,0.007873782
reservoir_volume_roll_std_3h,0.007556182
water_level_roll_min_24h,0.0075238314
reservoir_volume_roll_max_72h,0.0074270847
reservoir_volume_roll_min_24h,0.007201183
water_level_lag_72h,0.0068888497
reservoir_volume_roll_mean_12h,0.0067225667
water_level_roll_mean_48h,0.006693363
sin_dayofyear,0.0066667562
reservoir_volume_roll_std_48h,0.0064191245
reservoir_volume_lag_24h,0.0063884603
water_level_slope_48h,0.00635315
water_level_change_1h,0.006128449
water_level_roll_mean_24h,0.006109509
water_level_roll_mean_72h,0.005907481
reservoir_volume_roll_mean_24h,0.005896635
water_level_roll_std_48h,0.0057998425
water_level_roll_min_48h,0.005498429
reservoir_volume_roll_max_12h,0.0054536103
reservoir_volume_change_3h,0.005417748
water_level_roll_std_72h,0.0054057078
reservoir_volume_slope_48h,0.005370389
is_weekend,0.005370285
reservoir_volume_roll_std_72h,0.0053544785
reservoir_volume_change_72h,0.005316128
dayofweek,0.005256937
water_level_roll_std_6h,0.0049324236
water_level_change_48h,0.004837373
water_level_lag_48h,0.004684132
water_level_roll_min_12h,0.004642963
water_level_change_72h,0.0044444175
reservoir_volume_slope_3h,0.004144401
reservoir_volume_lag_12h,0.004132608
cos_month,0.0041060913
reservoir_volume_roll_std_6h,0.003997866
reservoir_volume_slope_72h,0.003989825
water_level_roll_min_3h,0.0039598006
reservoir_volume_change_1h,0.0039583547
reservoir_volume_roll_mean_6h,0.0038916224
water_level_roll_std_12h,0.003858904
reservoir_volume_change_48h,0.0036483824
reservoir_volume,0.0035956942
water_level,0.003578707
water_level_lag_12h,0.003571881
water_level_lag_6h,0.003555905
water_level_slope_3h,0.0033045684
water_level_change_3h,0.0032269366
water_level_slope_72h,0.0031721378
water_level_roll_max_12h,0.0030070073
water_level_roll_max_6h,0.0029653742
water_level_lag_3h,0.0028938446
water_level_roll_mean_3h,0.0025076696
reservoir_volume_slope_1h,0.0024678372
water_level_roll_mean_12h,0.0024674572
water_level_roll_mean_6h,0.0024549558
water_level_lag_1h,0.0023826342
reservoir_volume_roll_std_12h,0.0023780428
reservoir_volume_roll_max_6h,0.0022373556
cos_hour,0.0019751203
hour,0.0016815553
sin_hour,0.0009954193
reservoir_volume_lag_3h,0.0009091399
water_level_roll_max_3h,0.00085390266
reservoir_volume_roll_min_3h,0.0003256677
reservoir_volume_roll_mean_3h,0.00030286578
reservoir_volume_roll_max_3h,0.0001247171
reservoir_volume_lag_1h,0.0
